EID,Set_Name,Node1_Z
517,South_Vs10-Min0,-26.184078216552734
518,South_Vs10-Min0,-26.645631790161133
519,South_Vs10-Min0,-27.107187271118164
520,South_Vs10-Min0,-27.568742752075195
521,South_Vs10-Min0,-28.030298233032227
522,South_Vs10-Min0,-28.491853713989258
523,South_Vs10-Min0,-28.95340919494629
524,South_Vs10-Min0,-29.41496467590332
525,South_Vs10-Min0,-29.87651824951172
526,South_Vs10-Min0,-30.87319564819336
527,South_Vs10-Min0,-31.869873046875
528,South_Vs10-Min0,-32.86655044555664
529,South_Vs10-Min0,-33.86322784423828
530,South_Vs10-Min0,-34.859901428222656
531,South_Vs10-Min0,-35.8565788269043
532,South_Vs10-Min0,-36.85325622558594
533,South_Vs10-Min0,-37.84993362426758
534,South_Vs10-Min0,-38.84661102294922
535,South_Vs10-Min0,-39.84328842163086
536,South_Vs10-Min0,-40.84328842163086
537,South_Vs10-Min0,-41.84328842163086
538,South_Vs10-Min0,-42.8399658203125
539,South_Vs10-Min0,-43.417022705078125
540,South_Vs10-Min0,-43.99407958984375
541,South_Vs10-Min0,-45.331138610839844
542,South_Vs10-Min0,-46.66819763183594
543,South_Vs10-Min0,-48.00525665283203
544,South_Vs10-Min0,-49.342315673828125
545,South_Vs10-Min0,-50.67937469482422
546,South_Vs10-Min0,-52.01643371582031
547,South_Vs10-Min0,-52.698490142822266
548,South_Vs10-Min0,-53.380550384521484
549,South_Vs10-Min0,-54.06260681152344
550,South_Vs10-Min0,-54.744667053222656
551,South_Vs10-Min0,-55.42672348022461
552,South_Vs10-Min0,-56.10878372192383
553,South_Vs10-Min0,-56.79084014892578
554,South_Vs10-Min0,-57.472900390625
555,South_Vs10-Min0,-58.03995895385742
556,South_Vs10-Min0,-58.607017517089844
557,South_Vs10-Min0,-59.174076080322266
558,South_Vs10-Min0,-59.74113464355469
559,South_Vs10-Min0,-60.30819320678711
560,South_Vs10-Min0,-60.87525177001953
561,South_Vs10-Min0,-62.23230743408203
562,South_Vs10-Min0,-63.5893669128418
563,South_Vs10-Min0,-64.94642639160156
564,South_Vs10-Min0,-66.30348205566406
565,South_Vs10-Min0,-67.51554107666016
566,South_Vs10-Min0,-68.72760009765625
567,South_Vs10-Min0,-70.80465698242188
568,South_Vs10-Min0,-72.88172149658203
569,South_Vs10-Min0,-74.95877838134766
570,South_Vs10-Min0,-77.03583526611328
571,South_Vs10-Min0,-79.19728088378906
572,South_Vs10-Min0,-81.35873413085938
573,South_Vs10-Min0,-83.52017974853516
574,South_Vs10-Min0,-85.68163299560547
575,South_Vs10-Min0,-87.84307861328125
576,South_Vs10-Min0,-90.00453186035156
